,Structure,Fréquence
1131,adj prep nc prep det nc,8
487,nc nc prep nc prep nc v det nc np,8
986,v prep nc prep nc,8
2489,nc np pro v prep det nc np,8
54,v prep adj nc,8
409,np v det nc adj,8
2711,nc adj prep adj np prep det nc,8
536,nc prep nc nc adj adj,8
237,nc adj adv,8
1709,np nc prep nc np,8
234,nc prep nc adv v,8
2519,nc v prep nc prep nc prep adj nc,8
3293,nc np prep det nc prep,8
1098,nc adj prep det nc np prep nc,8
2012,nc np prep det nc prep np,8
925,nc prep det nc adj nc,8
3294,nc np prep det nc adj prep det np,8
707,nc prep v prep nc adj,7
2792,nc prep nc csu nc prep det nc,7
786,adj nc prep nc nc,7
718,np np nc adj,7
865,np np prep nc adj,7
826,nc nc csu nc,7
827,nc prep nc nc nc prep nc adj,7
964,adj nc v nc,7
1708,nc adj adj nc np,7
3212,nc nc nc adj prep nc nc,7
2909,nc pro v prep det nc prep nc prep nc,7
3205,np np nc nc adv,7
652,adj v,7
749,nc nc adj v,7
841,nc prep nc csu adj,7
2818,nc prep nc adj prep det nc np,7
942,nc prep det np np,7
2728,v prep adj np,7
2528,nc prep nc adj prep nc adj adj,7
1032,nc prep nc prep nc adj prep det nc adj,7
2310,nc prep det nc adj prep nc prep nc np,7
466,nc np v det nc,7
1569,nc prep det nc adj adj prep nc,7
1169,nc v det nc prep det nc,7
1214,adj nc nc adj nc,7
1230,nc prep np nc adj,7
405,nc adj v det nc adj,7
3400,nc prep np np prep nc np,7
1235,nc adj prep nc v prep nc,7
1247,nc adj csu adj prep nc,7
1251,nc prep np prep det nc,7
1801,nc adj v prep det nc np,7
1329,nc np v prep det nc,7
2290,np v nc np,7
1117,nc adj v prep det nc prep nc adj,7
310,nc prep nc nc np,7
1668,nc adj prep nc adj csu adj,7
1807,np np np nc nc,7
1403,adv adj,7
2176,nc np nc np,7
1436,nc prep v det nc,7
2134,adj nc adj adj np,7
1487,nc prep det adj nc prep nc,7
1595,nc adj v adv v,7
1594,nc v prep nc prep det nc adj,7
169,nc prep nc adj prep nc v,7
1972,nc nc prep det nc prep np,7
488,nc prep nc prep nc v det nc np,7
1797,nc adj prep nc adj prep nc adj,7
1066,nc prep prep det nc adj,7
1693,nc v adj nc,7
549,nc nc v prep nc,7
2678,np nc prep nc adj prep nc adj,7
553,adj nc prep nc prep nc adj,7
1043,nc nc prep nc adj adj,7
1762,adj adj nc prep nc,7
535,nc np prep nc prep nc prep nc,7
1649,np v det np,6
1063,np nc prep adj nc,6
96,nc adj v prep det nc prep det nc,6
3494,nc v adj nc adj,6
1383,nc prep det np adj,6
268,adj nc prep nc prep det nc,6
1803,adj prep det nc adj,6
1374,nc adj v prep nc adj prep nc,6
1384,v prep v,6
1059,nc adj csu adj adj prep nc,6
2329,nc nc nc adj nc,6
324,np v prep np,6
2313,nc prep det nc nc prep nc prep nc np,6
1393,nc prep nc prep nc prep adj nc,6
3476,np np prep nc prep det nc np,6
3474,np v det nc prep nc prep nc adj prep det nc,6
3473,np v det nc prep nc v prep nc prep det nc,6
892,nc adv adj prep nc adj,6
3080,nc np prep nc nc prep nc nc,6
2852,nc prep nc adj prep det nc adj prep nc,6
2356,nc adj prep nc v prep det nc,6
2357,nc prep det nc adj prep det nc prep nc,6
2850,np nc np np np,6
2876,nc prep nc prep prep det nc prep nc adj,6
554,nc adj csu prep nc,6
2235,nc prep nc v nc,6
1024,nc adj adj v prep nc,6
2698,nc prep nc prep nc adj prep adj nc,6
1583,nc nc adj prep det nc,6
2919,nc prep nc np prep det nc prep nc adj,6
3580,nc nc prep nc adj v prep nc,6
1025,nc adj adv prep adj nc,6
766,np nc v adj,6
186,nc prep nc adj csu prep nc,6
3021,nc nc adj prep nc prep nc,6
2072,nc prep det nc v prep nc,6
198,nc prep det nc prep det nc csu prep det nc,6
2082,nc prep nc adj prep nc prep det nc adj,6
2091,nc adj prep nc adj v,6
1486,adj adj nc adj,6
2431,np np np np np,6
1465,nc adj np adj,6
35,nc prep prep nc adj,6
2136,nc prep nc prep nc adj prep det nc,6
3533,nc adj prep nc prep nc prep nc np,6
1051,nc adj prep nc prep det nc adj adj,6
558,nc prep nc prep det nc adj np,6
3040,nc nc prep det np,6
249,nc adj adj prep adj,6
1865,nc adj np np v,6
252,nc v prep adj nc,6
738,nc nc nc v,6
3523,nc prep nc prep det nc np prep nc adj,6
1305,np nc nc v,6
1101,nc adj prep nc np prep nc,6
2796,nc prep nc pro v prep det nc,6
3316,adj nc adj prep nc prep nc adj,6
2666,adj nc prep det nc prep nc,6
3398,nc prep np np prep nc,6
1140,nc v v prep det nc,6
410,nc pro v prep nc adj,6
522,nc prep nc prep nc prep nc adj adj,6
2826,nc nc prep nc prep nc np,6
2537,nc prep nc adj adj prep nc np,6
3378,nc prep det nc prep det nc v prep prep nc,6
1089,prep,6
1181,np nc adj prep np,6
1220,nc adj adj prep nc prep det nc,6
1217,nc prep det nc adj csu adj,6
637,v prep v prep nc,6
650,nc prep nc v prep nc prep det nc,6
961,nc prep nc adj adj np,6
2498,nc prep nc nc prep np,6
1211,nc adj csu adj nc,6
431,np np adj prep det nc,6
428,nc prep det nc np prep nc prep det nc v,6
1084,nc prep det nc adj prep nc adj,6
2578,nc prep det nc prep nc csu det nc,6
1269,v pro v np,6
1134,nc v det nc nc,6
1104,np nc v prep nc,6
1114,np np np v,6
381,np v prep det nc prep nc,6
995,nc v prep nc adv adj,6
2769,nc v det nc adj adj prep nc,6
2457,nc nc prep nc prep nc prep nc,6
1242,np csu nc prep nc,6
1886,nc np prep det nc prep nc,5
1970,nc nc prep det adj nc,5
2955,nc prep nc adv adj prep det nc,5
2636,nc nc np prep nc,5
1969,v nc prep det adj nc,5
2499,nc prep nc nc prep nc prep adj nc,5
1558,v prep det nc prep nc,5
1768,nc prep nc prep det nc adj prep det nc,5
1194,nc nc adj nc np nc nc adv adj prep nc,5
