,Structure,Fréquence
1297,NOM PRO:PER VER:ppre PRP:det NOM,11
1394,ADJ NOM PUN NOM PUN,11
480,NOM PRP DET:ART NOM VER:pper PRP DET:ART NOM,11
1364,NAM ADV ADJ,11
1308,VER:pres,11
6049,NOM NAM PRP:det NOM PRP NOM PRP DET:ART NOM,11
1343,NOM ABR PRP DET:ART NOM,11
1322,NAM NOM PUN NOM PUN,11
501,ADJ NOM PRP NOM ADJ PRP NOM,11
5943,NOM ADJ PRP:det NOM ADJ VER:ppre PRP NOM NUM,10
1275,NAM PUN NAM PUN NAM,10
4445,NOM NAM PRP DET:ART NAM,10
4846,NOM PRP:det ADJ NOM PRP:det NOM NAM,10
1027,NOM NOM VER:pper PRP DET:ART NOM,10
4556,NAM NAM VER:pper PRP DET:ART NOM NOM,10
5356,NOM NOM NOM ADJ PRP NOM NAM,10
1619,NOM PRP DET:ART NOM PRP:det NOM PRP DET:ART NOM,10
1623,NAM PUN NOM PRP NOM PRP:det NOM PUN,10
187,ADJ PUN NOM PUN,10
158,NAM PUN NOM ADJ PRP DET:ART NOM PUN,10
5359,NAM NOM NOM PUN NAM VER:pres NAM,10
183,NOM VER:pper ADV,10
1084,NOM PRP NAM PRP:det NOM,10
1321,NOM PRP DET:ART NOM ADJ PRP DET:ART NOM ADJ,10
1078,NOM PRO:PER VER:ppre PRP DET:ART NOM NAM,10
